Datum eerste afgifte Nederland,Benzine,Diesel,Elektriciteit,LPG,Alcohol,CNG
1907-07-08,1.0,0.0,0.0,0.0,0.0,0.0
1914-06-08,2.0,0.0,0.0,0.0,0.0,0.0
1914-09-05,3.0,0.0,0.0,0.0,0.0,0.0
1921-02-05,0.0,0.0,1.0,0.0,0.0,0.0
1925-04-23,4.0,0.0,0.0,0.0,0.0,0.0
1925-06-30,5.0,0.0,0.0,0.0,0.0,0.0
1927-06-30,6.0,0.0,0.0,0.0,0.0,0.0
1928-06-30,7.0,0.0,0.0,0.0,0.0,0.0
1928-07-31,8.0,0.0,0.0,0.0,0.0,0.0
1931-06-30,9.5,0.0,0.0,0.0,0.0,0.0
1935-06-30,11.0,0.0,0.0,0.0,0.0,0.0
1936-06-30,12.0,0.0,0.0,0.0,0.0,0.0
1937-09-01,13.0,0.0,0.0,0.0,0.0,0.0
1940-06-23,14.0,0.0,0.0,0.0,0.0,0.0
1940-06-30,15.0,0.0,0.0,0.0,0.0,0.0
1945-02-28,16.0,0.0,0.0,0.0,0.0,0.0
1945-06-09,17.0,0.0,0.0,0.0,0.0,0.0
1945-06-30,18.0,0.0,0.0,0.0,0.0,0.0
1946-09-24,19.0,0.0,0.0,0.0,0.0,0.0
1947-02-01,20.0,0.0,0.0,0.0,0.0,0.0
1948-02-02,21.0,0.0,0.0,0.0,0.0,0.0
1948-06-24,22.0,0.0,0.0,0.0,0.0,0.0
1948-06-30,24.0,0.0,0.0,0.0,0.0,0.0
1949-01-31,26.0,0.0,0.0,0.0,0.0,0.0
1950-04-06,27.0,0.0,0.0,0.0,0.0,0.0
1950-07-29,28.0,0.0,0.0,0.0,0.0,0.0
1951-01-17,29.0,0.0,0.0,0.0,0.0,0.0
1951-01-19,30.0,0.0,0.0,0.0,0.0,0.0
1951-01-24,31.0,0.0,0.0,0.0,0.0,0.0
1951-01-26,32.0,0.0,0.0,0.0,0.0,0.0
1951-01-31,33.5,0.0,0.0,0.0,0.0,0.0
1951-02-16,0.0,1.0,0.0,0.0,0.0,0.0
1951-02-23,35.0,0.0,0.0,0.0,0.0,0.0
1951-02-26,36.0,0.0,0.0,0.0,0.0,0.0
1951-03-01,37.5,0.0,0.0,0.0,0.0,0.0
1951-03-06,39.0,0.0,0.0,0.0,0.0,0.0
1951-03-07,40.0,0.0,0.0,0.0,0.0,0.0
1951-03-10,41.0,0.0,0.0,0.0,0.0,0.0
1951-03-14,42.5,0.0,0.0,0.0,0.0,0.0
1951-03-28,44.0,0.0,0.0,0.0,0.0,0.0
1951-03-29,45.0,0.0,0.0,0.0,0.0,0.0
1951-04-04,46.0,0.0,0.0,0.0,0.0,0.0
1951-04-18,47.0,0.0,0.0,0.0,0.0,0.0
1951-04-20,48.0,0.0,0.0,0.0,0.0,0.0
1951-04-21,49.0,0.0,0.0,0.0,0.0,0.0
1951-04-23,50.0,0.0,0.0,0.0,0.0,0.0
1951-04-24,51.0,0.0,0.0,0.0,0.0,0.0
1951-05-05,52.5,0.0,0.0,0.0,0.0,0.0
1951-05-09,54.0,0.0,0.0,0.0,0.0,0.0
1951-05-10,55.0,0.0,0.0,0.0,0.0,0.0
1951-05-16,56.0,0.0,0.0,0.0,0.0,0.0
1951-05-17,57.0,0.0,0.0,0.0,0.0,0.0
1951-06-01,58.0,0.0,0.0,0.0,0.0,0.0
1951-06-15,59.0,0.0,0.0,0.0,0.0,0.0
1951-06-22,60.0,0.0,0.0,0.0,0.0,0.0
1951-06-23,61.0,0.0,0.0,0.0,0.0,0.0
1951-06-25,62.0,0.0,0.0,0.0,0.0,0.0
1951-06-29,63.0,0.0,0.0,0.0,0.0,0.0
1951-06-30,65.5,0.0,0.0,0.0,0.0,0.0
1951-07-06,68.0,0.0,0.0,0.0,0.0,0.0
1951-07-12,69.0,0.0,0.0,0.0,0.0,0.0
1951-07-19,70.5,0.0,0.0,0.0,0.0,0.0
1951-07-20,72.0,0.0,0.0,0.0,0.0,0.0
1951-07-21,73.0,0.0,0.0,0.0,0.0,0.0
1951-07-25,74.0,0.0,0.0,0.0,0.0,0.0
1951-07-26,75.0,0.0,0.0,0.0,0.0,0.0
1951-07-28,76.0,0.0,0.0,0.0,0.0,0.0
1951-08-11,77.0,0.0,0.0,0.0,0.0,0.0
1951-08-20,78.0,0.0,0.0,0.0,0.0,0.0
1951-08-23,79.0,0.0,0.0,0.0,0.0,0.0
1951-08-27,80.0,0.0,0.0,0.0,0.0,0.0
1951-08-30,81.0,0.0,0.0,0.0,0.0,0.0
1951-09-13,82.0,0.0,0.0,0.0,0.0,0.0
1951-09-15,83.0,0.0,0.0,0.0,0.0,0.0
1951-09-18,84.0,0.0,0.0,0.0,0.0,0.0
1951-09-26,85.0,0.0,0.0,0.0,0.0,0.0
1951-10-06,86.0,0.0,0.0,0.0,0.0,0.0
1951-10-09,87.0,0.0,0.0,0.0,0.0,0.0
1951-10-12,88.0,0.0,0.0,0.0,0.0,0.0
1951-10-17,89.0,0.0,0.0,0.0,0.0,0.0
1951-11-05,90.0,0.0,0.0,0.0,0.0,0.0
1951-11-07,91.0,0.0,0.0,0.0,0.0,0.0
1951-11-16,92.0,0.0,0.0,0.0,0.0,0.0
1951-11-20,93.0,0.0,0.0,0.0,0.0,0.0
1951-11-22,94.0,0.0,0.0,0.0,0.0,0.0
1951-11-23,95.0,0.0,0.0,0.0,0.0,0.0
1951-11-26,96.0,0.0,0.0,0.0,0.0,0.0
1951-12-06,97.0,0.0,0.0,0.0,0.0,0.0
1951-12-07,98.0,0.0,0.0,0.0,0.0,0.0
1952-01-07,99.0,0.0,0.0,0.0,0.0,0.0
1952-01-11,100.0,0.0,0.0,0.0,0.0,0.0
1952-01-12,101.0,0.0,0.0,0.0,0.0,0.0
1952-01-15,102.0,0.0,0.0,0.0,0.0,0.0
1952-01-16,103.0,0.0,0.0,0.0,0.0,0.0
1952-02-05,104.0,0.0,0.0,0.0,0.0,0.0
1952-02-12,105.0,0.0,0.0,0.0,0.0,0.0
1952-02-19,106.0,0.0,0.0,0.0,0.0,0.0
1952-02-20,107.0,0.0,0.0,0.0,0.0,0.0
1952-02-26,108.0,0.0,0.0,0.0,0.0,0.0
1952-02-29,109.0,0.0,0.0,0.0,0.0,0.0
1952-03-04,110.5,0.0,0.0,0.0,0.0,0.0
1952-03-12,112.0,0.0,0.0,0.0,0.0,0.0
1952-03-14,113.0,0.0,0.0,0.0,0.0,0.0
1952-03-18,114.0,0.0,0.0,0.0,0.0,0.0
1952-03-19,115.0,0.0,0.0,0.0,0.0,0.0
1952-03-21,116.5,0.0,0.0,0.0,0.0,0.0
1952-03-25,119.0,0.0,0.0,0.0,0.0,0.0
1952-03-27,121.5,0.0,0.0,0.0,0.0,0.0
1952-04-03,123.0,0.0,0.0,0.0,0.0,0.0
1952-04-10,124.0,0.0,0.0,0.0,0.0,0.0
